Area,Cost of a healthy diet (PPP dollar per person per day),Number of people unable to afford a healthy diet (million),Percentage of the population unable to afford a healthy diet (percent),"Country area, Area","Land area, Area","Agriculture, Area","Agricultural land, Area","Cropland, Area","Cropland, Area per capita","Arable land, Area","Temporary crops, Area","Temporary meadows and pastures, Area","Temporary fallow, Area","Permanent crops, Area","Permanent meadows and pastures, Area","Perm. meadows & pastures - Nat. growing, Area","Forest land, Area","Naturally regenerating forest, Area","Planted Forest, Area","Other land, Area","Inland waters, Area","Land area equipped for irrigation, Area","Agriculture area actually irrigated, Area","Agriculture area under organic agric., Area","Agriculture area certified organic, Area","Coastal waters, Area","Land area actually irrigated, Area","Cropland area actually irrigated, Area","Cropland area under organic agric., Area","Cropland area certified organic, Area","Cropland area under protective cover, Area","Perm. meadows & pastures - Cultivated, Area","Farm buildings and Farmyards, Area","Perm. meadows & pastures area actually irrig., Area","Forestry area actually irrigated, Area","Perm. meadows & pastures area under organic agric., Area","Perm. meadows & pastures area certified organic, Area","Inland waters used for aquac. or holding facilities, Area","Inland waters used for capture fisheries, Area","Coastal waters used for aquac. or holding facilities, Area","Coastal waters used for capture fisheries, Area","EEZ used for aquac. or holding facilities, Area","EEZ used for capture fisheries, Area","Exclusive Economic Zone (EEZ), Area","Cropland area under conventional tillage, Area","Cropland area under conservation tillage, Area","Cropland area under zero or no tillage, Area","Land used for aquaculture, Area","Population, Domestic supply quantity","Wheat and products, Production","Wheat and products, Domestic supply quantity","Rice and products, Production","Rice and products, Domestic supply quantity","Barley and products, Production","Barley and products, Domestic supply quantity","Maize and products, Production","Maize and products, Domestic supply quantity","Oats, Domestic supply quantity","Millet and products, Production","Millet and products, Domestic supply quantity","Sorghum and products, Domestic supply quantity","Cereals, Other, Domestic supply quantity","Cassava and products, Domestic supply quantity","Potatoes and products, Production","Potatoes and products, Domestic supply quantity","Yams, Domestic supply quantity","Roots, Other, Domestic supply quantity","Sugar cane, Production","Sugar cane, Domestic supply quantity","Sugar beet, Production","Sugar beet, Domestic supply quantity","Sugar (Raw Equivalent), Production","Sugar (Raw Equivalent), Domestic supply quantity","Sweeteners, Other, Production","Sweeteners, Other, Domestic supply quantity","Honey, Production","Honey, Domestic supply quantity","Beans, Domestic supply quantity","Peas, Domestic supply quantity","Pulses, Other and products, Production","Pulses, Other and products, Domestic supply quantity","Nuts and products, Production","Nuts and products, Domestic supply quantity","Soyabeans, Domestic supply quantity","Groundnuts, Domestic supply quantity","Sunflower seed, Production","Sunflower seed, Domestic supply quantity","Rape and Mustardseed, Domestic supply quantity","Cottonseed, Production","Cottonseed, Domestic supply quantity","Coconuts - Incl Copra, Domestic supply quantity","Sesame seed, Production","Sesame seed, Domestic supply quantity","Olives (including preserved), Production","Olives (including preserved), Domestic supply quantity","Oilcrops, Other, Production","Oilcrops, Other, Domestic supply quantity","Soyabean Oil, Domestic supply quantity","Groundnut Oil, Domestic supply quantity","Sunflowerseed Oil, Production","Sunflowerseed Oil, Domestic supply quantity","Rape and Mustard Oil, Domestic supply quantity","Cottonseed Oil, Production","Cottonseed Oil, Domestic supply quantity","Palmkernel Oil, Domestic supply quantity","Palm Oil, Domestic supply quantity","Coconut Oil, Domestic supply quantity","Sesameseed Oil, Production","Sesameseed Oil, Domestic supply quantity","Olive Oil, Production","Olive Oil, Domestic supply quantity","Maize Germ Oil, Domestic supply quantity","Oilcrops Oil, Other, Production","Oilcrops Oil, Other, Domestic supply quantity","Tomatoes and products, Domestic supply quantity","Onions, Production","Onions, Domestic supply quantity","Vegetables, other, Production","Vegetables, other, Domestic supply quantity","Oranges, Mandarines, Production","Oranges, Mandarines, Domestic supply quantity","Lemons, Limes and products, Domestic supply quantity","Grapefruit and products, Domestic supply quantity","Citrus, Other, Production","Citrus, Other, Domestic supply quantity","Bananas, Domestic supply quantity","Plantains, Domestic supply quantity","Apples and products, Production","Apples and products, Domestic supply quantity","Pineapples and products, Domestic supply quantity","Dates, Domestic supply quantity","Grapes and products (excl wine), Production","Grapes and products (excl wine), Domestic supply quantity","Fruits, other, Production","Fruits, other, Domestic supply quantity","Coffee and products, Domestic supply quantity","Cocoa Beans and products, Domestic supply quantity","Tea (including mate), Domestic supply quantity","Pepper, Domestic supply quantity","Pimento, Domestic supply quantity","Cloves, Domestic supply quantity","Spices, Other, Production","Spices, Other, Domestic supply quantity","Wine, Domestic supply quantity","Beer, Domestic supply quantity","Beverages, Fermented, Domestic supply quantity","Beverages, Alcoholic, Domestic supply quantity","Alcohol, Non-Food, Domestic supply quantity","Bovine Meat, Production","Bovine Meat, Domestic supply quantity","Mutton & Goat Meat, Production","Mutton & Goat Meat, Domestic supply quantity","Pigmeat, Domestic supply quantity","Poultry Meat, Production","Poultry Meat, Domestic supply quantity","Meat, Other, Production","Meat, Other, Domestic supply quantity","Offals, Edible, Production","Offals, Edible, Domestic supply quantity","Butter, Ghee, Production","Butter, Ghee, Domestic supply quantity","Cream, Domestic supply quantity","Fats, Animals, Raw, Production","Fats, Animals, Raw, Domestic supply quantity","Eggs, Production","Eggs, Domestic supply quantity","Milk - Excluding Butter, Production","Milk - Excluding Butter, Domestic supply quantity","Freshwater Fish, Production","Freshwater Fish, Domestic supply quantity","Demersal Fish, Production","Demersal Fish, Domestic supply quantity","Pelagic Fish, Production","Pelagic Fish, Domestic supply quantity","Marine Fish, Other, Production","Marine Fish, Other, Domestic supply quantity","Aquatic Plants, Production","Aquatic Plants, Domestic supply quantity","Infant food, Domestic supply quantity","Miscellaneous, Domestic supply quantity","Rye and products, Production","Rye and products, Domestic supply quantity","Oats, Production","Sorghum and products, Production","Sweet potatoes, Domestic supply quantity","Beans, Production","Soyabeans, Production","Soyabean Oil, Production","Groundnut Oil, Production","Tomatoes and products, Production","Lemons, Limes and products, Production","Dates, Production","Wine, Production","Beer, Production","Beverages, Alcoholic, Production","Pigmeat, Production","Fish, Body Oil, Production","Fish, Body Oil, Domestic supply quantity","Fish, Liver Oil, Production","Fish, Liver Oil, Domestic supply quantity","Crustaceans, Production","Crustaceans, Domestic supply quantity","Cephalopods, Production","Cephalopods, Domestic supply quantity","Molluscs, Other, Production","Molluscs, Other, Domestic supply quantity","Aquatic Animals, Others, Production","Aquatic Animals, Others, Domestic supply quantity","Cereals, Other, Production","Peas, Production","Groundnuts, Production","Rape and Mustardseed, Production","Rape and Mustard Oil, Production","Grapefruit and products, Production","Bananas, Production","Pimento, Production","Cassava and products, Production","Sweet potatoes, Production","Palm kernels, Production","Palm kernels, Domestic supply quantity","Palmkernel Oil, Production","Palm Oil, Production","Ricebran Oil, Domestic supply quantity","Pineapples and products, Production","Coffee and products, Production","Cocoa Beans and products, Production","Beverages, Fermented, Production","Yams, Production","Roots, Other, Production","Maize Germ Oil, Production","Tea (including mate), Production","Alcohol, Non-Food, Production","Cream, Production","Coconuts - Incl Copra, Production","Plantains, Production","Sugar non-centrifugal, Production","Sugar non-centrifugal, Domestic supply quantity","Coconut Oil, Production","Ricebran Oil, Production","Pepper, Production","Meat, Aquatic Mammals, Production","Meat, Aquatic Mammals, Domestic supply quantity","Cloves, Production","Miscellaneous, Production"
Afghanistan,,,,65286.0,65223.0,38313.0,38313.0,8051.0,0.2008,7829.0,3834.0,0.0,3995.0,222.0,30262.0,30262.0,1208.44,1208.44,0.0,25701.56,63.0,3208.0,2493.0,0.0977,0.0938,,,,,,,,,,,,,,,,,,,,,,,,0.0,3900.0,7098.0,459.0,960.0,123.0,133.0,180.0,361.0,-1.0,3.0,4.0,35.0,24.0,0.0,865.0,985.0,-5.0,0.0,38.0,38.0,4.0,4.0,1.0,520.0,0.0,16.0,1.0,1.0,-21.0,30.0,42.0,54.0,61.0,62.0,1.0,6.0,0.0,6.0,0.0,47.0,47.0,8.0,40.0,33.0,8.0,8.0,32.0,28.0,5.0,0.0,2.0,52.0,5.0,8.0,8.0,0.0,187.0,0.0,2.0,2.0,1.0,1.0,1.0,9.0,72.0,-177.0,302.0,141.0,3223.0,3204.0,3.0,120.0,1.0,0.0,12.0,52.0,50.0,3.0,293.0,208.0,1.0,32.0,1037.0,671.0,382.0,219.0,0.0,2.0,11.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,115.0,120.0,157.0,157.0,1.0,28.0,61.0,12.0,12.0,52.0,54.0,41.0,41.0,0.0,11.0,17.0,22.0,117.0,2143.0,2408.0,10.1,10.1,0.0,4.04,0.0,0.06,0.0,0.0,0.0,0.0,2.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,4.388,0.4,15.9,2875.0,2740.0,1136.33,1136.33,687.53,0.2408,599.9,200.9,219.7,179.3,87.63,448.8,,788.9,711.6837,70.39,814.77,33.0,361.18,188.0,1.1,0.9,102.0,244.7,188.0,1.1,0.9,1.88,,,,,,,,,,,,,,,,,,0.0,225.0,600.0,0.0,33.0,15.0,22.0,414.0,558.0,35.0,,0.0,0.0,1.0,0.0,259.0,283.0,,0.0,,,24.0,24.0,2.0,55.0,2.0,80.0,5.0,5.0,26.0,0.0,3.0,4.0,15.0,25.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,110.0,109.0,,0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,12.0,13.0,1.0,1.0,3.0,311.0,108.0,109.0,906.0,851.0,46.0,59.0,12.0,0.0,0.0,1.0,52.0,,111.0,114.0,2.0,15.0,212.0,214.0,162.0,172.0,13.0,4.0,2.0,0.0,1.0,0.0,0.0,-1.0,6.0,85.0,0.0,3.0,2.0,32.0,40.0,23.0,23.0,22.0,14.0,63.0,0.0,1.0,12.0,15.0,3.0,4.0,1.0,3.0,6.0,57.0,57.0,1043.0,1158.0,4.27,4.4,5.3,3.01,2.39,7.74,0.04,0.92,0.01,0.0,1.0,18.0,3.0,4.0,33.0,0.0,0.0,22.0,0.0,0.0,0.0,314.0,5.0,14.0,3.0,58.0,4.0,9.0,0.01,0.0,0.0,0.0,1.52,4.35,0.42,2.7,1.07,1.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,4.043,14.3,32.4,238174.1,238174.1,41316.071,41316.071,8509.571,0.1926,7530.6,4682.0,0.0,2848.6,978.971,32806.5,32752.5,1958.3333,1396.6667,561.6667,194899.6957,,1382.0,,0.77,0.77,,,,0.77,0.77,,54.0,,,,,,,,,,,,,,,,,0.0,2168.0,11119.0,0.0,177.0,555.0,1767.0,18.0,4407.0,57.0,,4.0,1.0,8.0,2.0,4361.0,4839.0,,0.0,,-2.0,0.0,0.0,,1739.0,148.0,146.0,5.0,6.0,84.0,17.0,87.0,229.0,55.0,104.0,989.0,107.0,0.0,10.0,25.0,0.0,0.0,4.0,,6.0,705.0,713.0,,4.0,674.0,30.0,3.0,33.0,15.0,,0.0,2.0,124.0,2.0,,0.0,79.0,121.0,0.0,34.0,130.0,1747.0,1711.0,1711.0,6379.0,6514.0,1428.0,1467.0,85.0,1.0,1.0,1.0,202.0,0.0,522.0,524.0,39.0,1121.0,630.0,644.0,960.0,994.0,43.0,43.0,14.0,2.0,19.0,0.0,,11.0,11.0,151.0,0.0,4.0,4.0,146.0,156.0,361.0,361.0,0.0,258.0,258.0,16.0,15.0,70.0,70.0,4.0,14.0,0.0,12.0,58.0,305.0,306.0,3264.0,7111.0,2.51,8.18,7.97,13.53,75.63,123.41,15.18,15.48,,0.03,16.0,81.0,,0.0,40.0,0.0,0.0,4.0,,175.0,30.0,1642.0,84.0,1189.0,,150.0,0.0,0.0,,0.0,,0.02,2.14,3.69,0.88,1.22,0.57,0.61,0.0,0.0,1.0,8.0,16.0,23.0,8.0,2.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,20.0,20.0,2.9,2.9,2.9,0.0644,0.97,0.7554,0.1061,0.1085,1.93,0.0,,17.1,17.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,47.0,47.0,18.7562,18.7562,0.7562,0.0096,0.7476,0.2066,0.4903,0.0506,0.0086,18.0,,16.0,16.0,0.0,12.2438,,0.15,,0.002,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,5.031,30.4,88.1,124670.0,124670.0,45897.0,45897.0,5690.0,0.1649,5373.0,4184.0186,587.9798,601.0016,317.0,40207.0,,66052.3133,65251.8533,800.4733,12720.6867,,85.53,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1013.0,11.0,765.0,63.0,143.0,2970.0,3210.0,2.0,35.0,35.0,34.0,81.0,9895.0,485.0,497.0,0.0,2.0,1002.0,1002.0,,0.0,118.0,580.0,308.0,310.0,23.0,24.0,419.0,0.0,30.0,32.0,2.0,3.0,37.0,264.0,12.0,12.0,0.0,3.0,3.0,1.0,3.0,3.0,,1.0,4.0,5.0,119.0,30.0,4.0,6.0,0.0,1.0,1.0,10.0,210.0,0.0,,0.0,,2.0,0.0,1.0,21.0,52.0,,7.0,745.0,757.0,,5.0,1.0,0.0,445.0,446.0,4337.0,-6.0,,8.0,664.0,0.0,,1.0,99.0,104.0,12.0,4.0,1.0,0.0,0.0,0.0,,1.0,25.0,1129.0,794.0,21.0,36.0,109.0,123.0,25.0,25.0,246.0,40.0,286.0,9.0,10.0,26.0,47.0,1.0,2.0,2.0,11.0,13.0,5.0,5.0,221.0,427.0,25.43,42.69,77.3,85.46,271.25,295.88,31.86,32.01,,0.03,18.0,27.0,,0.0,,34.0,1905.0,341.0,37.0,,30.0,17.0,,,,1100.0,24.0,136.0,8.0,2.9,,,2.63,2.06,2.73,0.27,0.0,0.29,0.0,0.02,,,222.0,,,,4346.0,,9867.0,1788.0,310.0,392.0,10.0,59.0,0.0,663.0,10.0,0.0,794.0,,,,,,,,,,,,,,,,,
Anguilla,,,,9.0,9.0,,,,,,,,,,,,5.5,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,4.684,,,44.0,44.0,9.0,9.0,5.0,0.0536,4.0,3.1148,0.4377,0.4474,1.0,4.0,,8.0533,,,26.9467,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-25.0,,-4.0,,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,11.0,,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,2.0,,3.0,0.0,0.0,,0.0,2.0,0.0,,2.0,2.0,0.0,,0.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,0.01,0.11,1.05,1.19,0.06,1.02,0.2,2.35,,0.0,0.0,2.0,,0.0,,,0.0,,,,,0.0,0.0,,,2.0,,0.0,,0.0,,0.01,0.28,0.71,0.0,0.04,1.58,1.92,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,
Argentina,,,,278040.0,273669.0,117957.7597,117957.7597,43276.7597,0.9558,42208.7597,36200.0,3744.0,2264.7597,1068.0,74681.0,71020.0,28463.6667,26997.3333,1466.3333,127247.5736,4371.0,2357.0,,4074.8043,3719.4688,,,,,,,3661.0,,,,,,,,,,,,,,,,,0.0,17673.0,6098.0,1453.0,1063.0,4036.0,792.0,60526.0,21370.0,531.0,10.0,2.0,1299.0,155.0,308.0,2955.0,2430.0,,0.0,16317.0,16317.0,,,1725.0,1594.0,709.0,665.0,71.0,5.0,257.0,156.0,122.0,63.0,22.0,44.0,50673.0,406.0,3426.0,3419.0,-3.0,500.0,500.0,13.0,,-2.0,341.0,300.0,24.0,24.0,3684.0,43.0,1340.0,832.0,3.0,20.0,18.0,0.0,6.0,3.0,,0.0,32.0,14.0,51.0,302.0,-15.0,1230.0,600.0,463.0,2090.0,2018.0,1456.0,1373.0,376.0,119.0,1.0,1.0,657.0,3.0,514.0,429.0,61.0,0.0,2241.0,2007.0,950.0,620.0,105.0,59.0,1119.0,2.0,5.0,0.0,9.0,8.0,963.0,1928.0,8.0,72.0,273.0,2982.0,2463.0,59.0,59.0,723.0,2339.0,2192.0,77.0,69.0,581.0,491.0,46.0,31.0,4.0,432.0,342.0,885.0,884.0,11900.0,10204.0,28.05,9.97,446.98,154.34,16.14,48.05,0.56,0.56,0.0,0.83,0.0,-4.0,136.0,136.0,507.0,3319.0,123.0,759.0,46218.0,8392.0,63.0,1146.0,1378.0,,1248.0,1909.0,65.0,696.0,0.35,0.79,0.0,0.0,218.1,52.83,96.3,13.08,22.56,28.75,0.01,0.01,576.0,194.0,1267.0,18.0,0.0,116.0,177.0,3.0,196.0,123.0,,0.0,,,,3.0,,,11.0,,,53.0,1180.0,315.0,4.0,,,,,,,,,,,
Armenia,3.527,1.2,41.4,2974.0,2847.0,2042.08,1674.82,503.72,0.1805,443.42,227.154,0.0,216.266,60.3,1171.1,1049.87,328.26,310.0,18.26,476.66,127.0,209.43,155.89,0.5833,0.2971,,,94.0,,,,121.23,367.26,1.5,0.4,,,,,,,,,,,,,,0.0,97.0,560.0,0.0,14.0,41.0,81.0,6.0,79.0,6.0,,0.0,0.0,11.0,0.0,365.0,405.0,,0.0,,,55.0,55.0,7.0,83.0,50.0,67.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,7.0,0.0,2.0,0.0,4.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,,0.0,0.0,1.0,0.0,,0.0,,0.0,1.0,0.0,5.0,123.0,29.0,39.0,528.0,543.0,,32.0,4.0,2.0,,0.0,22.0,0.0,88.0,101.0,3.0,1.0,237.0,235.0,258.0,234.0,23.0,7.0,1.0,0.0,0.0,0.0,,0.0,8.0,34.0,0.0,3.0,1.0,69.0,75.0,11.0,11.0,29.0,15.0,54.0,0.0,0.0,16.0,18.0,0.0,3.0,2.0,4.0,23.0,39.0,40.0,673.0,803.0,17.63,12.67,0.0,0.14,0.0,10.12,0.0,0.56,,0.02,0.0,17.0,0.0,1.0,4.0,,0.0,3.0,,,,158.0,,,13.0,28.0,83.0,16.0,,0.43,,0.0,0.64,0.71,0.0,0.01,0.0,0.11,0.0,0.01,5.0,0.0,,,,,,,,,,,,,,,,,9.0,,,,,1.0,,,,,,,,,,,,
Aruba,4.116,,,18.0,18.0,2.0,2.0,2.0,0.0188,2.0,1.5574,0.2189,0.2237,,,,0.42,0.42,0.0,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2.437,0.2,0.7,774122.0,769202.0,387265.0,363519.0,31650.0,1.221,31265.0,25712.3218,0.0,5552.6782,385.0,331869.0,,134005.1,131614.8,2390.3,247931.9,4920.0,2546.0,1945.0,35687.799,32954.529,,,1239.0,1070.634,,,,133.0,,,34617.165,,,,,,,,,,,,,0.0,31931.0,6529.0,423.0,514.0,14649.0,4580.0,306.0,275.0,905.0,37.0,35.0,178.0,76.0,18.0,1268.0,1688.0,1.0,5.0,31133.0,31134.0,,0.0,4123.0,1205.0,2386.0,2265.0,11.0,15.0,131.0,258.0,3119.0,809.0,372.0,260.0,45.0,62.0,26.0,29.0,1168.0,860.0,550.0,52.0,,6.0,116.0,179.0,13.0,21.0,29.0,2.0,12.0,71.0,254.0,22.0,49.0,0.0,76.0,13.0,2.0,5.0,25.0,54.0,2.0,197.0,271.0,895.0,295.0,248.0,1541.0,3218.0,611.0,381.0,39.0,9.0,9.0,12.0,346.0,0.0,285.0,501.0,251.0,8.0,1886.0,1829.0,498.0,720.0,151.0,72.0,14.0,4.0,5.0,0.0,1.0,12.0,870.0,2038.0,21.0,143.0,23.0,1933.0,682.0,673.0,220.0,654.0,1327.0,1281.0,18.0,16.0,394.0,190.0,92.0,103.0,7.0,605.0,486.0,269.0,272.0,8858.0,8173.0,63.33,107.58,39.81,140.88,77.67,307.5,16.36,48.97,1.92,18.44,-4.0,406.0,29.0,29.0,1898.0,1639.0,77.0,257.0,40.0,6.0,1.0,337.0,40.0,,1482.0,1683.0,8.0,432.0,0.0,13.26,0.0,0.2,39.04,91.61,2.56,29.03,22.57,61.83,0.05,1.77,204.0,399.0,18.0,4756.0,446.0,8.0,346.0,,,77.0,,0.0,,,,74.0,,,9.0,,,1.0,,52.0,7.0,,,,,,,,,,,
Austria,3.027,0.1,0.9,8387.9,8252.0,2597.4594,2597.4594,1387.4794,0.1555,1319.7654,1119.226,149.8554,50.684,67.714,1209.98,455.771,3902.74,2231.84,1670.9,1751.8006,135.9,99.8,,680.8,,,,,288.4,,,754.209,,,,392.4,,,,,,,,,,,,,0.0,1548.0,1998.0,,93.0,743.0,877.0,2435.0,3064.0,96.0,10.0,4.0,31.0,350.0,1.0,770.0,914.0,0.0,0.0,,0.0,3017.0,3036.0,518.0,577.0,1872.0,655.0,4.0,9.0,1.0,16.0,34.0,47.0,3.0,93.0,276.0,36.0,75.0,148.0,373.0,0.0,0.0,7.0,,2.0,0.0,18.0,35.0,34.0,32.0,1.0,65.0,86.0,205.0,,0.0,7.0,51.0,9.0,,0.0,,10.0,-5.0,93.0,239.0,433.0,169.0,115.0,389.0,1030.0,0.0,212.0,31.0,5.0,0.0,4.0,133.0,0.0,206.0,260.0,108.0,3.0,328.0,396.0,91.0,441.0,76.0,10.0,5.0,2.0,3.0,0.0,,6.0,244.0,986.0,0.0,17.0,65.0,214.0,127.0,7.0,9.0,389.0,151.0,172.0,0.0,3.0,66.0,4.0,38.0,51.0,66.0,188.0,192.0,139.0,146.0,3867.0,3613.0,4.6,38.43,0.0,24.84,0.0,64.04,0.0,7.02,,1.21,0.0,-77.0,152.0,157.0,89.0,37.0,3.0,,238.0,30.0,,60.0,0.0,,246.0,985.0,25.0,502.0,0.0,1.28,,0.01,0.0,18.39,0.0,2.44,0.0,4.58,0.0,0.15,319.0,13.0,,87.0,150.0,0.0,0.0,,,,,0.0,,,,,,,27.0,,,,,126.0,74.0,,,,,,,,,,,
Azerbaijan,2.69,0.0,0.0,8660.0,8265.0,4780.6,4780.6,2363.0,0.2291,2089.0,2049.8,0.0,39.2,274.1,2417.5,,1143.2967,834.6187,308.68,2341.1033,395.0,1484.9,1469.3,38.08,20.77,,,1425.9,,,,2417.5,,43.4,,,,,,,,,,,,,,,0.0,1837.0,3397.0,10.0,76.0,1246.0,1223.0,279.0,352.0,14.0,3.0,3.0,0.0,12.0,0.0,1062.0,1151.0,,0.0,,0.0,177.0,313.0,43.0,273.0,248.0,312.0,7.0,6.0,11.0,10.0,5.0,12.0,88.0,67.0,33.0,11.0,25.0,31.0,0.0,185.0,101.0,2.0,,0.0,2.0,2.0,21.0,21.0,2.0,0.0,36.0,91.0,0.0,1.0,-4.0,0.0,48.0,0.0,,0.0,1.0,3.0,32.0,117.0,99.0,665.0,286.0,285.0,1184.0,1209.0,50.0,83.0,22.0,1.0,4.0,4.0,52.0,0.0,308.0,211.0,4.0,7.0,210.0,217.0,716.0,457.0,16.0,15.0,14.0,0.0,0.0,0.0,0.0,1.0,5.0,489.0,0.0,148.0,1.0,145.0,133.0,88.0,85.0,9.0,124.0,157.0,,0.0,52.0,53.0,26.0,41.0,0.0,13.0,37.0,111.0,114.0,2223.0,2465.0,1.61,7.75,0.07,2.58,0.0,9.56,0.0,0.29,,0.02,2.0,33.0,1.0,3.0,12.0,0.0,0.0,7.0,0.0,0.0,,807.0,5.0,,7.0,484.0,168.0,0.0,0.0,0.01,,0.0,0.0,0.43,0.0,0.02,0.0,0.11,0.0,0.0,,6.0,,,,,,,,,,,,,,,,,1.0,,,14.0,1.0,,,,,,,,,,,,,
Bahamas,4.661,,,1388.0,1001.0,13.0,13.0,11.0,0.027,8.0,6.2297,0.8755,0.8948,3.0,2.0,,509.86,509.86,0.0,478.14,387.0,1.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,32.0,,19.0,,2.0,1.0,4.0,1.0,0.0,0.0,,0.0,1.0,0.0,16.0,0.0,0.0,62.0,62.0,,0.0,,11.0,,13.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,4.0,,0.0,0.0,,,3.0,,0.0,,0.0,,0.0,1.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,4.0,19.0,1.0,2.0,25.0,48.0,4.0,14.0,12.0,29.0,,0.0,13.0,0.0,,5.0,5.0,0.0,,1.0,9.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,5.0,0.0,16.0,0.0,0.0,6.0,0.0,1.0,13.0,6.0,31.0,,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,5.0,3.0,55.0,0.0,0.79,0.48,1.19,0.04,4.36,0.0,0.49,0.0,0.0,1.0,14.0,,0.0,,,2.0,,,,,8.0,2.0,,,,13.0,0.0,,0.01,,,6.27,3.79,0.0,0.2,3.07,2.34,0.0,0.0,,,,,,22.0,10.0,,1.0,2.0,,0.0,,,0.0,,,,,,0.0,,,,,3.0,0.0,,,,,,,,,
